text,label
价格低，配置高，省油。基本市区每公里不到4毛，跑高速3毛,积极
6档自动，在这个级别的小车里确实给力；车身安全性高，空间不错，外观也漂亮；,积极
三档降二档有一点顿挫，有点被拖住的感觉！,消极
最不满意的就是后边的弹簧板套，刚开回家还行，过了有半个月可开始咯吱咯吱响，去4s了几次还是响，唉！！！,消极
作为欧版帕萨特的旅行版，空间自然是最大的亮点，除了轴距比国产迈腾短一点（无伤大雅），后备箱空间完暴迈腾；2.0t的动力350牛米，220马力，动力杠杠的，内饰做工细腻，新车毫无异味。,积极
车子起步太肉，动力小了点。,消极
动力性能无可挑剔，同价位无对手。油耗也是省的惊人。,积极
装配可靠性强，没小毛病，空间够用。,积极
后排没有空调出风口，其次副驾驶不是电动调节。,消极
性比价高、空间大、配置高、皮实耐用。,积极
好开、耐操、省心、性价比极高,积极
动力还可以，满载上坡也很容易。,积极
大灯可调、新车中挡风玻璃冲洗水中预罐了玻璃清洗剂。,积极
外观干练的线条~充满力量感的车身~还有一种优雅的气质，低调的外表下隐藏着一颗v6大心脏~,积极
车身够长，空间够大，装货方便，价格便宜。,积极
颜值大爱，无需多言；操控精准；逼格旋钮；驾驶乐趣丰富（不好意思，一共说了四点）,积极
空间大，使用灵活。,积极
载人多空间大加速对于面包车来说勉强够用,积极
隔音差，低扭发动机动力弱，手动挡没6档跑120码时速时要3100转导致发动机噪音大增油耗也随之加大，13款减配厉害，备胎不是全尺寸无所谓，就连esp都减了那就说不过去了,消极
a柱较大，影响视线，后备箱空间有限,消极
非要说不满意的地方，就是觉得离合器踏板、刹车、油门有些高，也许是新手的原因吧，不习惯。这也算是吹毛求疵吧。,消极
外观大气颜值高，回头率相当高，内饰高端大气上档次，豪车上有的配置这车上基本也都有了。,积极
车以貌取人，最满意的首先还是稍比缤智成熟的外观，更加沉稳，外观100分的满意。其次就是同级别领先的乘坐空间，使得家人可以更好的享受后排空间，再加上头顶的全景天窗，使得后排充满开扬感。,积极
油耗低对这个是要点赞的；外形时尚招靓丽年轻人比较喜欢，我就非常喜欢新奥拓的外形，男士开起也更加硬朗了；成熟的三缸发动机技术，维护保养的时候省心省事。,积极
大屏幕可以连接手机映射,积极
性价比极高，乘坐舒适，外观优雅讨喜,积极
最不满意一点吗。其实说老实话我觉得就是新款上市价格优惠太少了。不过我们做生意的也能理解、新款就是性价比最低的时候。不过我想即使过了后面便宜、可能也和途安错过缘分了。更说白了、还是缘分二字啊。,消极
舒适，没的说，氛围灯漂亮，永远过s，是我一辈子的骄傲，现在是家里的车，希望以后可以自己奋斗去拥有，因为故障a180去维修了，开过s，真的不想换回去了,积极
同等价位的也算佼佼者动力不错，起步快，提速可以，自己相当满意！,积极
速度大于80公里每小时感觉不稳定（不过这小车也算行了）,消极
侧面线条。。。侧面看小宝绝对帅~还有，在楼上自上向下看，小宝侧面也是挺帅的~中控台软塑、中控台布局、内饰无味也是相当满意的地方,积极
1.外形时尚，回头率高。2.油耗低，我这小白也能开到六点几。3.空间大，同事说同级别三厢可没这么大，尤其后排，180毫无压力。4.木有顿挫感，发动机起停很好玩，不抖。5.高速挺稳的。,积极
现在觉得都挺满意的，说不上哪个最满意。,积极
内饰储物空间简直基本等于没有。前面只有门边和中央扶手有储物空间。后排门边没有储物格，也没有中央扶手。基本想放东西只能放在前排座椅靠背后面的袋子里,消极
销售的态度和处事,积极
空间稍微小点,消极
空间挺大的，后备箱装着东西，带着老婆孩子一起出去玩也不会觉得拥挤。,积极
起步肉，刹车肉，不太习惯倒车档。,消极
还没什么不满意的,消极
用料扎实，安全性性价比高，头部空间充裕！车头看着凶悍！充满力量感,积极
油耗偏高了一点，不过的基本天天跑市区，显示8。3，不知道准确不？a柱盲区有点大。,消极
这空间可以，说心里话这空间和中型车几乎没太大区别，价格还比中型车低不少。,积极
空间大，外型够男人,积极
做工稍微有点粗糙，我加装了棕色真皮内饰后期加装的时候门缝没衔接好，下回去保养的时候再整好了,消极
为什么后视镜不带加热功能？为什么不带倒车雷达？搞不懂，这两项能增加多少成本？为什么没有手波四驱？？？,消极
小毛病比较多，估计是倒霉让我遇到了,消极
不满意的还是后排喽，不过家里没180的大个,消极
车子启动加速变道过弯都没的说,积极
座位不够人性化，开久了会很累,消极
新车入手时，倒车有点难挂档，不过开了一段时间，经过一段时间的磨合，开车熟练后，现象就消失了。在就是车身隔音效果有待提升。,消极
外观大气，空间很大,积极
"最爱意的就是骑士的空间,有次出行载过9个人,严重了超载了,哈哈!还有就是灵活的空间变化,把后排放倒的话后备箱容积就会大出很多!家用拉货两相宜!",积极
这车1.3的排量油耗可不算低，不知是不是我还没有过磨合期的缘故，希望以后能够下来吧。还有就是档有些难挂，不过价格在这也不好奢求太多。,消极
最大扭矩爆发太晚，踩刹车停车后再起步有延迟，油耗偏高……小马拉大车感觉爆棚，在城市高峰期跟车会力不从心！,消极
亮骚的埃斯托蓝色，无框车门加自动尾翼m套件，见了都说好看；m方向盘的手感和观感都异常性感，转向精准用了就放不下；245马力的动力充足，加速明显推背感，乘坐空间大，配置齐全，舒适进入非常方便,积极
肤浅的男人都喜欢大、喜欢简单，喜欢耐操的............车，所以我也不例外。,积极
细看有些地方做工还是比较粗糙,消极
对于这个价位该有的它都有，所以没有什么最不满意的，小毛病各帖子都有说明，异响没发现，排气管突突声有，坐车里关窗无视就好。,消极
毕竟是跑车，舒适性就差了很多了，首先是避震硬，稍微有点坑坑洼洼就很抖，底盘薄，走那些有小石子的路可以听到石子打底盘的声音，,消极
跟其他合资车比较性价比高，底盘扎实。试驾过几次国产车开起来都没有那种扎实感，感觉车跑起来不够昕锐沉稳所以没考虑国产车。前杠恢复性很好，小的碰撞成坑以后自己还能恢复，只是新车蹭掉漆还是很心疼。,积极
隔音稍差，有时候跑砂石路听见沙子砰砰打的底盘响，心疼啊，没办法做了底盘装甲，效果还不错。,消极
这么低的价位，还是一键启动。同价位的车是没法比的。,积极
空间大，省油，便宜,积极
底盘高走烂路与小车比起来，一冲就过去了有点野性的感觉。,积极
提速很快。车开着也挺稳当………开起来嗖嗖的，泡妞够了。哈哈,积极
v6自吸发动机，内饰漂亮真皮座椅细腻，后面的两个菊花特给力,积极
避震有点硬，开窗胎噪有点大。,消极
外观内饰配置都很欣赏，符合我对一辆10万以下cvt车型的要求，不错点个大赞，买了不会后悔的,积极
外观，空间，驾驶视野，整车隔音以及噪音方面，还有外皮，内塑，都还可以，比想象的要强一些。新车异味几乎没什么。,积极
安全性不错。整车车架刚性很好。,积极
噪音太大了，原车隔音没法看,消极
当然是价格，这个价格买进口suv车，以前想都不去想。,积极
做工很差，毕竟价位很低，指向性基本没有，需要习惯这种软绵绵的路感，油门和排挡也是国产车中特有的按摩功能，一直震动，另外烤漆工艺也有点过分，暴晒时间长了，机盖颜色会变暗，车身的漆也会有裂纹,消极
续航稍短了点。,消极
空调够凉爽。,积极
异响、阉割远程启动,消极
变速箱偶有顿挫感，启停技术有待完善,消极
油耗略高，骗人的日行灯。,消极
机盖的左灯和机盖的缝有点大，我朋友的车也是如此，论坛网友也有同感。为什么生产出厂不好好验一下呢，拧了一下机盖上边的垫，没好使，然后也没弄它，不耽误什么事就行了。哪天去4s调一下会好吧。,消极
16款g10后面两排座椅滑轨依然没有做成真正通轨，对于车内空间的灵活运用造成不便。,消极
当然是那霸气的外形了，凯迪拉克的钻石切割设计理念，有棱有角，充满着美式的狂野，第一眼就被深深吸引。还有内部空也有良好的表现。,积极
当然是车的外观，第一眼看到就被它迷住了，那还是老婆在汽车之家里看到的。然后就查看了一下车车的配置，是同级别同价位中最多最风富的。性价比可是很高的超值了。油耗不高。差不多一百公里5升油不到。,积极
储物空间偏少，尤其是驾驶位，手机确实是没有地方放。,消极
最满意的还是视野吧，想对卡宴、gls、x5视野算里面最好的，还有就是外观，纯黑的比较霸气，特别喜欢hst的配色,积极
空间比同级别的车要宽裕，油耗也低，很有一键降窗，电动调节后视镜。,积极
1.4t也就快个1秒多，有那么大差距吗？觉得慢，干脆卖车换好的吧，1.4t就打击到你了,消极
空间可以，后备箱空间比索八还大,积极
异响，新车不久就后备箱一直塑料声响，原地转向响，4s店很负责一直在换零件，但是新车就这样总感觉不可思议。试驾车都不响。,消极
后排杯架取消！取消！取消！这你能受得了嘛！！！后排杯架跑长途时对后排乘客多么重要竟然取消了！,消极
1、当然是油耗啦！磨合期内高速6.5是比较满意，一到了市区，没有低于过12，可能汉口比较堵车吧。2、起步动力肉，需要狂踩油门。3、大灯似乎有点不如主流，啥年代了，还是蜡烛黄。,消极
空间大外形还算满意，比五菱老款好看吧,积极
发动机噪音大！没有行车记录仪！底盘太硬！,消极
内饰台普通了，就是有北京车展s500ev的那个内饰都能满足我啊，可惜没有！,消极
目前还没有什么不满意的地方，非要找点毛病的话，那就是内饰与合资车比的确有很大的提升空间，但是9万不到的价格，个人觉得这点不是问题，毕竟价格摆在这里；再就是手刹的缝隙能弄个套子不，老是担心掉东西下去。,消极
提车开始悬挂有异响，右中门关不好；县道高速转弯空车甩尾,消极
噪声太大啊,消极
外观漂亮，男士开很显有个性。比上一个乐驰大了n倍。,积极
中门推拉门不好用,消极
油耗！！！400多公里目前维持在13升，虽然纯市区，但还是有点接收不了。要是油耗能再降下来一些就好了，我心里预期在9升左右。还有一点！帝豪其它几款车前中网都有亮条，为什么gs是黑的？？,消极
后排座椅可以拆卸，偶尔可以多装一些东西，出去旅游的时候，东西也可以放的不少，人也可以做的蛮多的，七座的车子，瘦的人可以做七八个，还留有余地，胖的人做个三四个已经不得了了。,积极
油耗有点高，大脚油门的时候动力有点迟缓，不知道是什么原因了，后备箱的空间有点小了，一个人开开，也没多大影响，其他的也没有什么不满意的，再吐槽也就内饰了，唉，凑合着了.....,消极
不能选装抬头显示和360全景影像，略遗憾。起步比原来的奥迪a4还要肉一点，车头右上角位置不大好判断，还在熟悉中。,消极
外观符合我的审美观，整车无论正面、侧面、后面看，都很协调；底盘悬挂很好，刚中带柔，细碎的震动能过滤掉，但又不至于毫无反馈感。,积极
悬架有点硬，过沟坎的时候颠簸大，舒适性不高。,消极
你yy滴油耗敢不敢再高一点啊！！,消极
外形不怎么主流化，还有油耗略高,消极
空间大舒适，后排放倒的话完全可以睡两个人无压力。皮质座椅座感相当舒服且是黑色耐脏。,积极
保养便宜。,积极
舒适宽敞安静,积极
07款307，2.0手自一体，踩刹车挂倒档，松刹车后不走，要加点油才噹的一声开始动起来,消极
不满意的就是后车厢有点短些，在长一点最好了，还有就是方向盘没助力，有些沉，很不适应，有待提高，收音机太单调了，希望在改进，其他也没什么了。,消极
宽阔的驾驶空间加上宽大的坐位设计显得小车不小！,积极
2-3档顿挫还是有的,消极
噪音大，油耗目前稍高,消极
油耗低，空间够用。其他的就别提了，一买菜车你还想怎样？,积极
马六的稳定性和操控还可以，变速箱换挡快而且没有顿挫感，动力也还行。,积极
满意：满意的地方真的有很多，非要说重点的话，我总结了两点！第一个是省油，毕竟买车容易养车难，一个suv油耗低，省的都是钱！第二个我觉得是空间，小七的空间在同级别中不排第一也排第二！,积极
低扭力时的发动机或者离合器发出的哒哒声，以及低扭时的稍微有点肉，这个肉拉高速后有所改善。,消极
几乎没有，目前来看，发动机起停技术过于复杂，没有宝马这么直接。太繁琐其实并不利于人的操作，开自动挡的车本事就是一种解脱和放松，若是油门的轻重都要控制，防止反复打或熄火，反而得不偿失,消极
座椅太小，坐起硬，时间长了不舒服,消极
轴距长，空间大，还带后排出风口，外形好看，档位清晰，入档时有一定的吸入感，还有后排座椅终于可以放倒，这样后备箱就可以放大长物件了。,积极
空间是15的最大优点，其次是就是性价比了。,积极
没有遮物帘、操控感觉不好，有点呆！空间偏小！,消极
原车自带的多媒体导航，稍显不足！,消极
15万左右的车身价，但车内的科技感略显不足，没有配备全触控液晶显示屏，不具备实用的倒车影像功能，车门及座椅用了织物材料，拉低了整体的档次感与舒适性，给后期维护带来不便，整车内饰稍显沉闷，没有什么亮点。,消极
不满意的地方就是开车的时候发动机噪音大，但也符合它的价位了。,消极
7寸手机智联屏，能联的手机型号太少了，手册上能联的手机都是老掉牙的机子，市面上很难找到，坑爹没商量，7寸屏有点不伦不类，难道换个9寸的要死人啊？,消极
离合不好踩，开关门劲小搞不转～,消极
同级别看了个遍，杰德外形一眼“中毒”，不能自拔，进入车内感受空间，“中毒”更深。,积极
动力强劲，m274高功率版本。,积极
后视镜太小，过路口的时候，需要探头瞭望。,消极
外观！！简直帅呆了，开出去还是挺有面子的，好多人都挺羡慕我买这款车的。,积极
噪音太大，第一次朋友开，就说像拖垃圾机，不过现在一直用econ模式，感觉声音小了点，不知道一直这样，会不会有什么问题，不过想想既然官方搞了这一模式，肯定是让人用的。基本在市区跑。,消极
内饰个别设计不合理，操作不便（下面详述）,消极
都很满意没有什么不满意的希望后期满满发现什么不足的地方吧,积极
噪音很大，开到80码以上耳根子受不了。减震偏硬，底盘校准不到位,消极
1.倒档有几次挂不进去2.空间只能说能够用3.密封，车里进灰（没有车库）,消极
花花外观比较保守，没有浮夸的线条，中规中矩的。总体感觉还是不错的，但是不满意的地方和普遍花友反映的也差不多，我的是手卓版，挂倒档打齿，隔音较差，有沙子打底盘的声音，引擎盖缝隙偏大，左右不均匀。,消极
轮胎有些窄感觉不够大气，如果可以再说一点那我觉得内饰风挡下边的操作台塑料感太强了。,消极
动力十足，空间大，大气！,积极
后屁股双排没有了，上下一色，显得臃肿没有运动感,消极
空间足够用，动力比想象中要好很多，静音非常好，外观足够拉风，浓浓的美式风情，性价比很高，用料讲究，底盘很紧凑、扎实。尤其夏季天热，遥控启动很实用，上车就凉快了。,积极
车灯和外观,积极
朗境独特的外观再加上独一无二的猎奇棕，还有那17寸的轮毂，换挡片加上s档结合起来，可以领略大众车无与伦比的驾驶快感！在大街上绝对是独一无二,积极
高速很稳定·不怕横风·七座·油耗没传说中的大。,积极
雾灯都被减配掉了为什么不把卤素灯换成氙气的呢，温岭这个地方百分之70的司机晚上开车全程远灯。你提示他变灯很多人都不变！！！,消极
前排副驾驶有点矮，每次进人都要低头；,消极
内饰稍微差了点，如果改成全软包就好了！而且中空，可以设计更时尚些！,消极
朴实无华但任劳任怨，不需要特别的照顾，差点烂点的地方能去，上山下坡也很稳重。,积极
发动机启停技术，等灯快不用换档,积极
悍马一样的外形。,积极
撼路者的外观绝对是美国车的经典之作。霸气，有力量，充满了野性的魅力。当然撼路者的动力也是其他车无法撼动的。所以叫撼路者吗，就是这么威猛。,积极
外观，内饰，隔音，对动力不懂，但是开的很稳。,积极
后储物仓略小,消极
几万块钱的车子其实没多少要求，家用实在方便节省的话就可以了，在这些方面来说，智尚s35的表现可以说是同级别中表现最可靠的了。,积极
油耗偏高，上坡无力，溜坡,消极
1:新车的味道没有想象的那么小，还是有比较大的皮味道。2:大家说的顿挫确实有，跟车的时候比较明显体会到。3:自动挡上坡溜坡是几个意思？,消极
车灯还不如长安车，希望好好改,消极
起步燥声大，起步肉，前面不能控制后窗户，脑残设计！,消极
07款自动挡马六一档升二挡时有顿挫感怎么回事呢？,消极
最不满意的就是，隔音效果不是太好，钢板有点软，不太厚实，内饰做工粗糙，但是相比合资的价格感觉还是不错的，比较一分价钱一分货！,消极
路噪和减速拉扯感，不过也就那一个速度区间内，习惯一下还行。,消极
外观不错，特别是一键启动最令我骄傲。,积极
造型优美协调，让人一看就喜欢的样子。,积极
当然是帅气的外观了，只可惜预算不够，相比2.0大灯更加喜欢2.4羽翼大灯，不过已经十分欢喜了。,积极
性价比超高，所有想要的都有了。,积极
20t动力不足，在满足平常上下班用车时还好，但在全家出门出游需要长途和上高速时动力就略显不足。,消极
装得多跑得快,积极
轴距短，转弯或者比较窄的地方过着毫无压力，动力没的说2.0t211匹马力用在这个小车相当够了，外观帅稍微一改装就帅到没朋友了。,积极
高速动力充沛，功能配置齐全。,积极
车辆大气稳重，车身修长，坐在驾驶位能看到车头，比一般的车稍高。刹车比我以前的雪铁龙稍软，得稍微深踩点，还是不错的。空间巨大，家人坐后排都很满意。我要求不太高，音响个人认为不用改了。,积极
暂时没发现。新手油耗高，正常。,消极
动力有点弱小,消极
质量差，一个月出一个问题，售后再修半个月，基本上没怎么跑，买的新车，整天开着破车在路上跑,消极
外观个性有的说很方正，有人说很丑。两个极端。呵呵。后备箱有点小，如果再大点就好了。再一个天天看到dsg变速箱问题，希望加强质量，别中招就好哦。,消极
保养比较麻烦,消极
最不满的就是这车备胎了，简直就跟我们农村的三轮一样的轮胎，太小家子气了！,消极
外观算式是比较好看的，轿车式的门把手，犀利的大灯很有神。内饰及中控台不错，仪表自发光的，而且有转速表，这个非常好。方向盘的喇叭区域较广，操作方便。,积极
噪音与震动锁车不关窗自动启动功能不能一直关闭，对我来说真的没用这个功能,消极
隔音差了点,消极
用到现在没什么不满意的的地方,消极
15款的电镀轮毂有轻微的氧化情况。,消极
"越野性能,锁车系统,外观,用着放心,看不见的奢华,低调",积极
4座空间还行,积极
外观适合自己,积极
导航。地图太老了，完全没有实用价值。,消极
怎么可能有,消极
帅气，操控一流，几乎达到人车合一啦，哈哈哈。。,积极
后座没有配安全带，希望改进,消极
这是鄙人的第一辆车，家用。空间的大小在小型车里基本是最大的了，这是最满意的地方，外观也很漂亮，比较喜欢。还有天窗，相信如果跑高速的话，开天窗比开玻璃要好得多。,积极
真还没发现。要挑毛病的话，内饰有点细节的地方没做好，比方有个塑料件的角角有点翘，还一个织物的边角没包住，暂时就发现这两个小瑕疵，不仔细找也发现不了，勉强算是小毛病吧。,消极
减震效果不错，威姿的平台还是有功底，牺牲其它方面换来的独立悬挂还是有用的。,积极
倒档和3档老是挂不上,消极
"耗油量不满意确实有点高不知道是不是磨合期的原因,磨合期过后希望会降低.无天窗不满意。动力与起步时的速度有点不满意希望改善",消极
动力强劲，空间够大。,积极
大灯尾灯，不愧奥迪为灯具厂。,积极
空间还不错，车子的操控性也还行。主要是外观看起来不会特别老气。,积极
买这款车的性价比高，经过认真对比挑选：这车的动力输出很够，省油，噪音也小，特别适合我出远门的时候开。,积极
车漆，相当的薄，所以平时开车得注意。不满意的地方就这一点。,消极
都30万的车没有电动耳朵，没有电动尾门，副驾没有电动座椅，遗憾啊！2016款比2015款多了导航，一键起动，屏也变大了，希望北奔在配置上有所改进！,消极
被动安全配置比较高车子相对比较宽稳定性好,积极
最不满意的地方就是停车后车底有嘀嗒嘀嗒的声响。还有就感觉漆有点薄，车衣都能刮出痕迹下的不敢用了，也许是车衣的事情,消极
byd车标了真的是一点技术含量都没有你这样设计（这里好像不能骂人的对吗）我相信你还在当年的杀马特时期我总是骗自己你会好的,消极
非常容易上手，总体感觉良好。555增值包很超值。,积极
开空调动力不足，机头响，连个转速器都没有,消极
空调温度怎么没办法调,消极
车身宽大，征服感强！,积极
轮胎噪音,消极
空调一点都不凉跟自然风样,消极
同级别内的皮卡算是杠杠滴了，绿静发动机的确比较安静，6mt也不错，外观内饰对得起这价格！,积极
外形简约大气，空间宽敞舒适，跑起来很沉稳给人安全的感觉。,积极
发动机结实耐用13万公里了无大修东安的机子不错,积极
档把子发抖，,消极
这内饰就不敢怎么恭维了，还需改进，特别是仪表台太单调了。,消极
空间相对其他b级车还是有点小了,消极
配置太低。座椅是手动的。朋友坐自己的车都得每次高速怎么调座椅。,消极
配置方面吧，该有的有了，不该有的也都有了，像esp，倒车影像，右盲区可视系统，镭射迎宾灯之类的，虽然有些配置比较鸡肋，但不妨碍我的审美啊，还是比较满意这些无所谓的配置吧。,积极
空间大，喜欢前脸，和内饰。,积极
虽然很多新能源电动车，但是还是比亚迪的原创性让人喜欢看，从外形到发动机还有蓄电都是科技很强的。,积极
油耗有点高，磨合期内，可以理解，希望过了之后会好,消极
省钱那3毛一公里不过油掉价了没以前差的多,积极
空间很好，头部空间可以,积极
后排头枕无法升降，后排座椅无法放到，导航地图过时，疝气大灯怎么还是不亮，中控台及座椅紫色布艺难打理、影响整体观感、不知道设计师是不是法国的？又或意大利的？薰衣草情节？,消极
有了江南tt，走亲访友方便多了。,积极
内饰用料不出众，说不上好，但还能接受,消极
减震比老星软多了，过减速带不再那么硬，油耗也比较的，磨合才7.5左右，车的整体外形比较协调大灯也够亮！,积极
动力1.4t，没的说，动力源源不断。运动款外观很适合年轻人。油耗使用情况非常理想，200块钱跑500，不当事儿。弯道平稳，毕竟是睿翼的底盘，m2平台值得信赖。,积极
动力充沛，性价比高，外形不山寨,积极
动力有点弱，尤其有山路的时候，拉一车东西以后开车基本靠悠,消极
钥匙??，太丑,消极
美观大气上档次，动力十足空间大，乘坐舒适性价比高！,积极
倒车时动力太小但是发动机功率貌似挺大的，能明显听到发动机高速工作的声音，我也不知道为什么。,消极
地盘有点低，动力不足，转弯角度大，车漆太薄，薄的可怜，恨不得一摸就掉。没有电动折叠后视镜，和后视镜加热，这个不太好。,消极
动力还凑合，外观还看得过去，省油，确实省油，特别100的时候，五个油就够了。大灯带透镜，夜间灯光不错，照射范围比较大，跑夜路非常好，下一步打算改疝气，应该会更好吧,积极
因为用的是欧蓝德的地盘，有点越野性质，所以悬挂稍硬。,消极
视野开阔，配置齐全。通过性能好。动力储备较足，超车无压力。b&o音质挺好的,积极
1价格相比其他自主品牌偏高2作为“b”级车居然连排气管也隐藏了3后排不支持放倒,消极
空间、空调制冷,积极
内饰的设计风格就不如外观那么漂亮了，首先是中控台感觉有点光秃秃的，缺少一点层次感，其次旋钮没有什么阻尼感，转起来感觉比较廉价。,消极
价格性价比高，动力强，做工精细。尤其要说明灯光方面，灯光方面个人感觉表现非常优秀基本秒杀同价格车辆，led大灯辨识度高，日间行车灯和转向灯灯光效果很好，雾灯配合转向非常犀利，信心满满。,积极
乘坐感受豪华、舒适，科技感很强、后排空间大，后排配备了空调出风口感觉用起来很方便，空调很给力。,积极
前脸设计和空间,积极
外观，，空间，，性价比，，,积极
灯光晚上太暗了，现在我改了透镜了。还有就是漆面太薄了，一根树枝就能把漆面划伤，,消极
最不满意的一点是价格感觉高一些，因为当时买的时候比较早优惠的没有这么多，听说现在优惠比我买的时候多了几千块。后来自己也想通了早买早享受。,消极
颜色好看，发动机省油。,积极
最满意的就是方向，那叫一个舒服，和小车没什么区别。还有刹车，离合，油门，都很轻。还有两米五的车厢，拉货真心不错。比五菱强多了。,积极
高速过100公里每小时噪音有点大，关后备箱时的那一声有点廉价。,消极
天窗打不开吧,消极
外观漂亮操控舒服给力音响给力后备箱巨无霸无异响使劲踩油门不用心疼性价比超值,积极
车标有点不喜欢,消极
提速快！外观好看价位不高！功能齐全,积极
太厉害了，一口气看完，爽,积极
后尾箱，大一点的行李是放不下的，不是电动尾箱，这个真的有点说不过去，后视镜折叠也只能算半自动吧（需要在车辆通电时按键开关）。速度降下来的时候60和40能感受到轻微顿挫感~,消极
方向盘比以前的二手五菱之光轻。仪表漂亮。,积极
方向稳，挂档吸入感强。视野不错，前排座椅舒服。内饰虽然塑料多，但氛围营造不错！外观好看，上牌的时候左右的车主很多过来围观，哈。有一定转载能力，我试过放到后排塞进一台山地车！,积极
最重要的就是想问一句，前两天有哥们发评论说手动挡的外观跟自动挡的差了很多，帖子为什么被网站删掉啦？为什么要删车主评论？可以公证一点吗？可以不那么坑吗？,消极
外观空间,积极
小七的造型，配置，空间，动力，外观，价格舒适性整体都满意。,积极
目前还没有不满意的地方！,消极
不明原因的异响,消极
这款车的变速箱有问题，换档难挂，5档的时候发动机异响加抖档，换自动档吧，也没有必要买这个车了，不就是为了玩嘛！现在杭州严打，还是老老实实的吧。,消极
这车的空间、动力、品牌都没问题！,积极
速度！绝对的推背感哈哈哈！速度起来后很带感，简直是太爽了！也许电车最吃香的就是这方面了～,积极
超过3000转噪音太大，开空调对发动机的影响大了点，提速太肉了。地盘好像有点松散,消极
外观油漆给人眼前一亮的感觉，漆面做的很好。,积极
质量稳定、油耗很低，日常用车成本很低,积极
那就是内饰，决定秒杀同价位的车型，内饰档次很高。全黑的内饰，看着很上档次，也很有动感。外观也不错，虽然感觉没老款的鲶鱼脸动感，但还可以啦。,积极
车漆不够硬，感觉很容易出现划痕,消极
空间，看了好多七座第三排打起来的情况下xcc的后备箱可以说是最大的。而且第三排乘坐空间也比较满意。,积极
这款车的最优秀一面就是动力强劲，外观大气，值得购买！,积极
顶稍矮了点,消极
后备箱真的小，两个小箱子占满了，再多点的就得堆起来。一家三口近郊出行够用了，下个月要送娃儿去上学，估计后排都得堆满。,消极
非要说些什么，那就是噪音大,消极
品牌，外观，操控,积极
油耗偏高，原以为8-9个油完全够用，现在也是在磨合期，综合油耗要在11个左右,消极
噪音，主要来自车轮胎，轮胎的品质不高，低速的时候不明显，车速超过100公里每小时的时候就不行了，轮胎噪音很大,消极
"手刹缝隙真的很大，钥匙口也一般,遥控钥匙离的稍微远一点就不起作用了，不知道别人的怎么样。车里感觉有异响，但不知道哪里，感觉在后面。",消极
内饰做工不错,积极
最满意的是车子的驾车安全配置，加速挺不错的，而且跑高速的话巡航这个功能真的很好,积极
颜值还是有点中庸化了，卤素大灯不够分量，轮毂造型也不够in,消极
烧气很经济空间还可以,积极
通用能不能在售后上稳妥点。好几次打通用电话，都接不通。然后就是万众一心的后排出风口，大哥，能不能给弄一个出风口，没多少成本吧。,消极
外形好看，方向盘轻，两厢车好掉头，好转弯，好停车！,积极
